source_id_1,vx,vy,vz,En,Lz,flag,apogee,feh,alpha,flag_abund
2106014330009657856,-124.07686291,-23.08035127,-19.36738951,-184955.41014945,-240.574459,1,2M19082613+4343170,-1.3837342,0.29224086,1
2106612017657254144,-199.7894921,184.49751731,76.34595968,-150566.4192581,1433.27035849,1,2M18570530+4405002,-0.46319744,0.170391,1
2106989051364770176,5.77971964,248.69336987,50.82493168,-157435.27295323,2091.82317689,0,2M18530104+4518135,-0.02942485,0.00402512,1
2126445115779806976,-280.00467335,21.00631056,137.72059089,-143100.01539354,-386.03009248,2,2M19345342+4452062,-1.6140343,0.4106237,3
2127447522484965504,-67.34200328,-47.0548148,-156.17073062,-177128.64621003,-430.51675979,2,2M19225967+4548488,-1.6794988,0.3759039,3
2127705534060757632,138.36127362,-118.02241076,36.70503059,-176603.33101708,-623.18941228,2,2M19200095+4617534,-0.679187,0.04609927,3
2127791910143071360,56.08924952,261.64120321,-23.09628477,-153051.21480282,2298.002861,0,2M19170032+4705383,-0.23779379,0.03379742,1
2127850115540021760,15.33952727,265.28331221,16.61990646,-153716.3937672,2296.43469819,0,2M19204057+4708085,0.16416568,0.00175285,1
2128006486709239168,89.45415904,240.16519393,-33.05454669,-156013.29796502,2193.18092586,0,2M19360222+4546350,-0.22287837,0.16589849,1
2129106380594661248,229.48259556,-29.41749005,65.8927003,-163713.35327286,196.00904332,1,2M19261098+4712212,-0.24537443,0.1999645,2
2129465985318723328,214.92849857,112.10580072,-103.13224503,-155794.18900669,1430.50518907,1,2M19203078+4815427,-0.65792775,0.2251696,1
2129474506531004416,20.11566595,183.48845282,4.31091565,-172927.07687309,1622.17892227,0,2M19201937+4829246,0.38176054,0.02246372,1
2129738251882205184,-26.49528824,-3.17908124,-61.16480451,-189965.36113338,56.21169517,1,2M19263197+4904142,-1.3989342,0.26523244,1
2130163625443203328,-118.70413272,29.60693606,126.691518,-176161.12846388,224.69834977,1,2M19223700+5039415,-0.4788459,0.2406562,2
2130453144896643456,62.45453568,206.89371988,-16.67788954,-166465.29229857,1854.65125094,0,2M19110589+4649422,0.022227,0.00778151,1
2130770074827770368,128.65286436,205.01548665,-34.56126676,-159621.53341594,2008.55245635,0,2M19134556+4642494,-0.41603073,0.12577394,1
2130915214660138624,115.22686302,28.37827908,-60.27520768,-182841.37419657,546.66582392,1,2M19160273+4735390,-1.0640404,0.26638633,1
2131276816546559104,107.4443716,188.46584389,17.80551295,-165802.65266902,1824.40646309,0,2M19064051+4851432,-0.48153868,0.2494098,1
2131277469381579648,78.60713441,27.32289367,-36.41834979,-187243.60506803,478.51092444,1,2M19062649+4850522,-1.8863602,0.388056,1
2131415831748683904,144.79061801,81.76239693,123.71577887,-169932.720455,929.47595179,1,2M18584335+4728453,-0.5625353,0.20689927,1
2131542967079356416,-195.64735317,218.033143,-28.30169705,-146327.49249848,1568.58608643,1,2M19002103+4754583,-0.50862694,0.24544922,1
2134842253581592448,134.40150193,-82.76319962,-33.81794523,-179525.40980357,-313.88400516,2,2M19404807+4933494,-1.556857,0.24592184,3
2135021199095253120,21.7806319,-46.96653068,82.66837925,-187890.70420822,-267.43095682,1,2M19365221+4935594,-1.2695185,0.3545498,1
2135173348317480960,32.69503067,271.47222505,5.59132634,-151073.13696854,2379.34798597,0,2M19412051+5023478,-0.10860926,0.00369636,1
2135206402385511168,167.9013247,58.71192347,-91.5501572,-171220.31294643,785.73883062,1,2M19371201+5024555,-2.0422616,0.33871654,1
2152717705602016256,50.00728918,-40.44279063,-8.09853155,-188701.39139446,-166.38873532,1,2M18000675+6015237,-0.35652176,0.19188559,1
2171230973161154944,16.55871111,167.42309904,-24.79782666,-174962.12813457,1527.10163598,0,2M21253104+5016002,0.04456266,-0.01474045,1
2173266237916169984,43.90582044,218.96166397,17.68485203,-161237.3128917,2101.8924116,0,2M21474138+5325248,0.07775106,-0.00350794,1
2183467536849721472,17.93459437,235.56123997,-20.54587295,-160729.26750074,2091.25862384,0,2M20351482+5428523,-0.47574526,0.08445318,1
2188213789240459904,36.86635996,254.22780862,11.75690297,-154221.11839636,2319.63334988,0,2M20265475+5753228,-0.05564301,0.01519039,1
2197305513450898176,45.58620489,197.11083891,26.6564516,-165731.5932768,1905.93902714,0,2M20593095+6427122,-0.10718524,0.11159605,1
2197526893245390208,57.55218779,224.6970344,5.40171774,-159463.23742919,2159.41830289,0,2M20581877+6501065,-0.0986435,0.01938479,1
2268048503896398720,-55.46658723,161.23233045,-280.78028966,-135713.13126702,1454.29154574,1,2M18470646+7443316,-1.4717753,0.22931913,1
2279611002534410496,-21.84958304,225.03018777,-8.52362529,-163106.81870827,2005.78060386,0,2M22371291+7522184,0.10715177,-0.05351195,1
2365649471033828096,254.49330149,-53.74717788,-110.33296356,-152347.37967627,-324.94310142,2,2M00054598-1940128,-1.2203789,0.29947147,2
2373241220866689536,-26.19286755,93.2782354,-79.41090324,-181278.06333322,892.08546413,0,2M00525578-1258567,-0.40653685,0.2644866,1
2489408743213972864,-39.831508,-110.44060215,-139.64764275,-173552.94824326,-870.69287211,2,2M02224187-0531045,-2.3835342,0.49695948,3
2492746040177433600,-111.95160602,128.93921839,-29.02816966,-172748.88858406,1226.22931384,0,2M02150319-0437411,-1.0167953,0.16716616,1
2504584997269760128,-153.77061617,93.87227309,-114.30194442,-161741.64613188,928.04599511,1,2M01575297-0316508,-0.7017599,0.16345488,1
2504634406573540608,-145.59799866,-48.47872309,-2.13221231,-172398.07526058,-403.29809539,2,2M01593915-0242496,-1.2955644,0.2454687,3
2686042860104456192,130.40797057,54.57749478,-49.78067722,-182461.27255802,634.49546086,1,2M21261861-0100542,-0.520548,0.2466114,1
2686585434733403776,-248.2577658,38.69466338,-94.37566274,-157889.02690184,24.24494248,2,2M21385713-0111188,-1.7826355,0.3489456,3
